date,fiscal_year,product_code,customer_code,forecast_quantity
2017-09-01,2018,A0118150101,70002017,18
2017-09-01,2018,A0118150101,70002018,11
2017-09-01,2018,A0118150101,70003181,9
2017-09-01,2018,A0118150101,70003182,6
2017-09-01,2018,A0118150101,70006157,5
2017-09-01,2018,A0118150101,70006158,6
2017-09-01,2018,A0118150101,70007198,4
2017-09-01,2018,A0118150101,70007199,7
2017-09-01,2018,A0118150101,70008169,7
2017-09-01,2018,A0118150101,70008170,8
2017-09-01,2018,A0118150101,70011193,5
2017-09-01,2018,A0118150101,70011194,7
2017-09-01,2018,A0118150101,70013125,2
2017-09-01,2018,A0118150101,70013126,2
2017-09-01,2018,A0118150101,70022085,12
2017-09-01,2018,A0118150101,70023031,1
2017-09-01,2018,A0118150101,80001019,7
2017-09-01,2018,A0118150101,80006154,21
2017-09-01,2018,A0118150101,80006155,21
2017-09-01,2018,A0118150101,80007195,62
2017-09-01,2018,A0118150101,90001021,2
2017-09-01,2018,A0118150101,90002001,52
2017-09-01,2018,A0118150101,90002002,47
2017-09-01,2018,A0118150101,90002003,56
2017-09-01,2018,A0118150101,90002005,40
2017-09-01,2018,A0118150101,90002006,32
2017-09-01,2018,A0118150101,90002007,44
2017-09-01,2018,A0118150101,90002009,48
2017-09-01,2018,A0118150101,90002010,17
2017-09-01,2018,A0118150101,90002011,42
2017-09-01,2018,A0118150101,90002013,34
2017-09-01,2018,A0118150101,90002014,68
2017-09-01,2018,A0118150101,90002015,43
2017-09-01,2018,A0118150101,90003179,6
2017-09-01,2018,A0118150101,90006153,3
2017-09-01,2018,A0118150101,90007197,16
2017-09-01,2018,A0118150101,90008165,16
2017-09-01,2018,A0118150101,90008166,11
2017-09-01,2018,A0118150101,90008167,17
2017-09-01,2018,A0118150101,90011185,2
2017-09-01,2018,A0118150101,90011186,8
2017-09-01,2018,A0118150101,90011187,7
2017-09-01,2018,A0118150101,90011189,7
2017-09-01,2018,A0118150101,90011190,3
2017-09-01,2018,A0118150101,90011191,8
2017-09-01,2018,A0118150101,90013117,2
2017-09-01,2018,A0118150101,90013118,1
2017-09-01,2018,A0118150101,90013119,1
2017-09-01,2018,A0118150101,90013121,2
2017-09-01,2018,A0118150101,90013122,1
2017-09-01,2018,A0118150101,90013123,2
2017-09-01,2018,A0118150101,90016171,1
2017-09-01,2018,A0118150101,90016173,1
2017-09-01,2018,A0118150101,90016175,1
2017-09-01,2018,A0118150101,90022071,13
2017-09-01,2018,A0118150101,90022073,7
2017-09-01,2018,A0118150101,90022074,5
2017-09-01,2018,A0118150101,90022075,6
2017-09-01,2018,A0118150101,90022077,8
2017-09-01,2018,A0118150101,90022078,6
2017-09-01,2018,A0118150101,90022079,14
2017-09-01,2018,A0118150101,90022081,7
2017-09-01,2018,A0118150101,90022082,15
2017-09-01,2018,A0118150101,90022083,5
2017-09-01,2018,A0118150101,90023022,1
2017-09-01,2018,A0118150101,90023023,5
2017-09-01,2018,A0118150101,90023025,3
2017-09-01,2018,A0118150101,90023026,2
2017-09-01,2018,A0118150101,90023027,2
2017-09-01,2018,A0118150101,90023029,2
2017-09-01,2018,A0118150101,90023030,1
2017-09-01,2018,A0118150101,90027207,5
2017-09-01,2018,A0118150102,70002017,62
2017-09-01,2018,A0118150102,70002018,58
2017-09-01,2018,A0118150102,70003181,10
2017-09-01,2018,A0118150102,70003182,6
2017-09-01,2018,A0118150102,70006157,4
2017-09-01,2018,A0118150102,70006158,6
2017-09-01,2018,A0118150102,70007198,10
2017-09-01,2018,A0118150102,70007199,3
2017-09-01,2018,A0118150102,70008169,14
2017-09-01,2018,A0118150102,70008170,19
2017-09-01,2018,A0118150102,70011193,5
2017-09-01,2018,A0118150102,70011194,3
2017-09-01,2018,A0118150102,70013125,2
2017-09-01,2018,A0118150102,70013126,2
2017-09-01,2018,A0118150102,70016177,1
2017-09-01,2018,A0118150102,70016178,1
2017-09-01,2018,A0118150102,70022085,2
2017-09-01,2018,A0118150102,70023031,1
2017-09-01,2018,A0118150102,80001019,15
2017-09-01,2018,A0118150102,80006154,4
2017-09-01,2018,A0118150102,80006155,23
2017-09-01,2018,A0118150102,80007195,20
2017-09-01,2018,A0118150102,90001021,2
2017-09-01,2018,A0118150102,90002001,48
2017-09-01,2018,A0118150102,90002002,55
2017-09-01,2018,A0118150102,90002003,73
2017-09-01,2018,A0118150102,90002005,30
2017-09-01,2018,A0118150102,90002006,34
2017-09-01,2018,A0118150102,90002007,75
2017-09-01,2018,A0118150102,90002009,32
2017-09-01,2018,A0118150102,90002010,64
2017-09-01,2018,A0118150102,90002011,25
2017-09-01,2018,A0118150102,90002013,43
2017-09-01,2018,A0118150102,90002014,18
2017-09-01,2018,A0118150102,90002015,56
2017-09-01,2018,A0118150102,90003179,3
2017-09-01,2018,A0118150102,90006153,4
2017-09-01,2018,A0118150102,90007197,16
2017-09-01,2018,A0118150102,90008165,11
2017-09-01,2018,A0118150102,90008166,12
2017-09-01,2018,A0118150102,90008167,9
2017-09-01,2018,A0118150102,90011185,4
2017-09-01,2018,A0118150102,90011186,5
2017-09-01,2018,A0118150102,90011187,8
2017-09-01,2018,A0118150102,90011189,2
2017-09-01,2018,A0118150102,90011190,6
2017-09-01,2018,A0118150102,90011191,6
2017-09-01,2018,A0118150102,90013119,1
2017-09-01,2018,A0118150102,90013121,1
2017-09-01,2018,A0118150102,90013122,1
2017-09-01,2018,A0118150102,90013123,1
2017-09-01,2018,A0118150102,90016175,1
2017-09-01,2018,A0118150102,90022071,5
2017-09-01,2018,A0118150102,90022073,9
2017-09-01,2018,A0118150102,90022074,17
2017-09-01,2018,A0118150102,90022075,10
2017-09-01,2018,A0118150102,90022077,10
2017-09-01,2018,A0118150102,90022078,13
2017-09-01,2018,A0118150102,90022079,12
2017-09-01,2018,A0118150102,90022081,16
2017-09-01,2018,A0118150102,90022082,8
2017-09-01,2018,A0118150102,90022083,8
2017-09-01,2018,A0118150102,90023022,3
2017-09-01,2018,A0118150102,90023023,2
2017-09-01,2018,A0118150102,90023025,3
2017-09-01,2018,A0118150102,90023026,4
2017-09-01,2018,A0118150102,90023027,3
2017-09-01,2018,A0118150102,90023029,2
2017-09-01,2018,A0118150102,90023030,3
2017-09-01,2018,A0118150102,90027207,2
2017-09-01,2018,A0118150103,70002017,11
2017-09-01,2018,A0118150103,70002018,22
2017-09-01,2018,A0118150103,70003181,15
2017-09-01,2018,A0118150103,70003182,9
2017-09-01,2018,A0118150103,70006157,5
2017-09-01,2018,A0118150103,70006158,1
2017-09-01,2018,A0118150103,70007198,5
2017-09-01,2018,A0118150103,70007199,17
2017-09-01,2018,A0118150103,70008169,17
2017-09-01,2018,A0118150103,70008170,7
2017-09-01,2018,A0118150103,70011193,5
2017-09-01,2018,A0118150103,70011194,2
2017-09-01,2018,A0118150103,70013125,2
2017-09-01,2018,A0118150103,70013126,1
2017-09-01,2018,A0118150103,70016178,1
